word,count
#cnnviagemegastronomia,10
região,8
suíça,6
link,6
bar,6
@danielafilomeno,6
conhecer,6
domingo,6
episódio,6
"claro,",6
vamos,6
vinho,6
gente,4
vinhos,4
neste,4
nesse,4
curte,4
ver,4
parte,4
francesa,4
dia,4
bebida.,4
"youtube,",4
reapresentação,4
"(4),",4
"(3),",4
14h15.,4
–,4
grandes,4
viagem,4
uns,4
bio,4
nacional,4
último,4
"brasileiro,",4
cada,4
video,4
cozinha,4
sobremesa,4
pouco,4
"22h,",4
prime,4
filme,4
sábado,4
"entrada,",4
fez,4
sobre,4
mundo,4
mercado,4
artesanal,4
😂a,2
jeito:,2
vespa,2
também.,2
queijo,2
tendências,2
(r$,2
regiões,2
estilos,2
confira,2
15,2
terça,2
"azevedo,",2
sendo,2
inspiração,2
escolhe,2
"país,",2
antigo,2
lista,2
2020,2
especiais,2
atua,2
toscana,2
6),2
"cebola,",2
matéria,2
passar,2
temos.,2
arturito,2
lavaux,2
continua,2
"folga,",2
3),2
diferentes,2
valorização,2
cnn,2
"tv,",2
"(dani,",2
nunca,2
frescos,2
principal,2
"""rolê",2
férias?,2
🧀,2
on?,2
episódios,2
fortaleza,2
forte,2
inspirado,2
4),2
"produtores,",2
boas,2
jurada,2
"laveaux,",2
foodie,2
cheios,2
cervejas,2
hoje?,2
"empresas,",2
"vinícolas,",2
1),2
seis,2
enaltecer,2
ir,2
(r$49);,2
curtindo,2
garrafa,2
vez,2
tomates,2
paisagens,2
motivos,2
italiana?,2
espumantes,2
data.,2
bio.,2
castelos:,2
liga,2
90%,2
"@cnnbrasil,",2
"mar,",2
envelhecido,2
"sabores,",2
meio,2
queijos.,2
faz,2
tv,2
executivo,2
"principal,",2
ingrediente,2
"1979,",2
apreciando,2
escutou,2
#cnnviagemegastronomia:,2
limão,2
2),2
mês,2
mantiqueira,2
sul,2
"autênticos,",2
"(r$39),",2
namorados,2
personagem,2
serra,2
seu.,2
diversos,2
"produto,",2
garfadas,2
pioneiros,2
outro,2
acesse,2
@paola.carosella.,2
empanada,2
desculpa,2
"assadas,",2
montanha,2
quer,2
forma,2
especialistas,2
"mitos,",2
lindas,2
restaurantes,2
serve,2
vinho?,2
protagonista.,2
passear,2
abrir,2
primeiro,2
"caminho,",2
boa,2
então,2
assim.,2
artista,2
completa.,2
savoy,2
mexicano,2
"mediterrânea,",2
opções,2
sido,2
"sexta-feira,",2
hr,2
fizemos,2
tradicionais,2
pratos,2
tema,2
opção,2
lugar,2
🍷,2
dois,2
pro,2
anos,2
centenária,2
convencer?,2
ter,2
refeição,2
siciliano,2
vitello,2
ar,2
nada,2
menus,2
junho,2
quero,2
25,2
acontece,2
gastronomia,2
claro!,2
😉,2
"brasil,",2
cremoso,2
corre,2
destaque,2
29).,2
itália...,2
"museum,",2
5),2
"filme,",2
coluna,2
panorama,2
argentina,2
sp,2
"profissionais,",2
responsáveis,2
cantinho!,2
vinícola,2
date,2
inesquecível,2
"gruyères,",2
comida,2
todo,2
afora,2
pinheiros,2
oliva,2
famosa,2
"aleatório""",2
apresentadora,2
lista.,2
brasileiros.,2
cozinheira,2
digno,2
cravado,2
pimenta,2
taça,2
descoberta,2
passe,2
"paulo,",2
"viaja,",2
dias,2
marcar,2
premiações,2
"medievais,",2
aqui,2
menu,2
formado,2
produção,2
certeza,2
"alcaparras,",2
querendo,2
criador,2
têm,2
produto,2
sempre,2
uvas,2
lá,2
😇),2
planos,2
crescente.,2
mignon,2
prato,2
"vinhos,",2
assistir,2
família,2
"shows,",2
mozzarella,2
sabores,2
r$128.,2
amantes,2
museu,2
dani,2
bunker,2
chamado,2
📍rua,2
deste,2
post.,2
restaurante,2
"especial,",2
temporada.,2
onde,2
frutos,2
brasileiros,2
surpreendentes.,2
lado,2
búfala,2
"almoço,",2
comemorado,2
"tonnato,",2
definição,2
crush,2
casa,2
😏,2
conseguimos,2
&,2
masterchef,2
hoje,2
roteiro,2
preparam,2
verdades,2
ainda,2
esqueça:,2
fondue,2
99;,2
experimentando,2
ler,2
além,2
lagos,2
"atum,",2
post,2
produtores,2
ouviu,2
mantém,2
balsâmico,2
notados,2
falar,2
passeio,2
"542,",2
vocês!,2
"momento,",2
🤔,2
filé,2
"sommeliers,",2
molho,2
"“alien”,",2
fazem,2
chegando,2
"reconfortante,",2
pediu,2
contaram,2
"""alien""",2
temporada,2
perfeito,2
reality,2
"@restaurantearturito,",2
chegam,2
parada,2
novilho,2
coentro,2
castelos,2
queijo!,2
valores,2
curiosidades,2
suíça?,2
completa,2
residência,2
giger,2
artur,2
@cnnbrasil,2
assados,2
🥰,2
