word,count
após,97
bar,61
carta,52
bares,44
dia,36
limão,32
drinques,31
coquetelaria,30
casa,30
vermute,28
leva,27
coquetéis,27
melhores,27
receitas,26
coquetel,26
fica,25
"restaurantes,",25
dicas,24
nova,23
"gastronômicas,",23
ostermos,23
concorda,23
sextas-feiras.inscreverao,23
críticas,23
usoepolítica,23
"newsletters,",23
cadastrar,23
ainda,22
rua,21
bitter,20
licor,19
arquivo,19
bartenders,18
dois,18
balcão,18
cachaça,16
vamos,16
todos,16
café,15
xarope,14
pouco,14
bartender,14
jerez,13
clássicos,13
drinque,13
pessoalfoto:,13
edição,13
mundo,13
"gim,",12
além,12
duas,11
"bar,",11
rodolfo,11
bebida,11
apresenta,11
old,11
acaba,11
deve,11
algo,11
(com,10
"casa,",10
crédito:,10
(,10
publicidadeo,10
lugar,10
the,10
foto,10
aqui,10
"olá,",10
hoje,10
novo,10
neste,9
(r$,9
gin,9
martini,9
versão,9
feito,9
rio,9
cada,9
dias,9
sempre,9
paulo,9
marca,9
"cachaça,",9
trata-se,9
privacidade.continua,8
cidade,8
bar.,8
parte,8
ano,8
nomes,8
traz,8
anos,8
"rum,",8
semana,8
suco,8
nome,8
7,7
bastante,7
carnaval,7
homenagem,7
"bourbon,",7
reginifoto:,7
"seco,",7
sinatra,7
uísque,7
gran,7
"mundo,",7
vem,7
rabo,7
o ,7
conhecer,7
conta,7
angostura,7
coquetelaria.,7
autorais,7
final,7
rum,7
restaurante,7
visita,7
desta,7
12,7
sobre,7
pedida,7
próximo,6
campari,6
brasileiro,6
"limão,",6
mel,6
5,6
tempo,6
"lá,",6
dry,6
viagem,6
marcelo,6
amereno,6
opções,6
espuma,6
casas,6
gustavo,6
crédito,6
acontece,6
sócio,6
"carta,",6
brasil,6
guilhotina,6
bem?o,6
fazer,6
"claro,",6
pessoas,6
gim,6
outros,6
laranja,6
mixologista,6
três,6
punch,6
"agora,",6
tudo,6
acho,6
vila,6
servir,6
tati,5
beber,5
experimentar,5
inauguração,5
próprio,5
gordura,5
água,5
pode,5
vodca,5
ingredientes,5
criação,5
tiago,5
estadãoo,5
chegar,5
chef,5
antes,5
bem,5
restaurantes,5
gelo,5
boa,5
equipe,5
dirty,5
cena,5
"coquetelaria,",5
primeira,5
siciliano,5
spencer,5
virô,5
tales,5
estadãocontinua,5
mundial,5
cordial,5
destaque,5
espaço,5
aptk,5
caipirinha,5
casca,5
"vez,",5
"paulo,",5
ml,5
menos,5
jr.,5
"exemplo,",5
cozinha,5
menu,5
durante,5
publicidadea,5
gabriel,5
evento,5
premiado,5
baixo,5
alguns,5
toque,5
apenas,5
copo,5
casa.,5
thiago,5
negroni,5
falar,5
"carvalho,",5
participantes,5
açúcar,5
clima,5
mercado,5
muita,4
caju,4
recomendo,4
embaixador,4
"dry,",4
especificamente,4
festa,4
fel,4
"aliás,",4
3,4
carlos,4
maior,4
partir,4
"maracujá,",4
música,4
"tinto,",4
daiquiri,4
exclusivamente,4
publicidadepara,4
"tempo,",4
outra,4
caledonia,4
fashioned,4
balcão.,4
itaim,4
vez,4
queirozfoto:,4
comando,4
fãs,4
novos,4
taís,4
ótima,4
toalha,4
dono,4
jack,4
tônica,4
entrega,4
deixou,4
passou,4
clássico,4
cultura,4
mães.,4
6,4
cardápio,4
abrir,4
paulo/,4
criou,4
infini,4
"gin,",4
sete,4
maurício,4
michelly,4
lançamento,4
bitters,4
"brasil,",4
chá,4
galo,4
brasil.,4
segundo,4
grupo,4
bia,4
tan,4
todo,4
"siciliano,",4
santa,4
jardim,4
cecì,4
lançar,4
"(gim,",4
class,4
pegada,4
"então,",4
localizado,4
preparo,4
ótimo,4
tinto,4
tio,4
monkey,4
world,4
roso,4
volta,4
aficionados,4
criar,4
mãe,4
10,4
time,4
(um,4
experiência,4
brandy,4
responsável,4
&,4
relação,4
vinho,4
beber.,4
autoral,4
(que,4
coco,4
brasileira,4
lança,4
presença,4
profissionais,4
hyatt,4
visitei,4
coqueteis,4
parceria,4
blend,4
começar,4
contar,4
50,4
dentro,4
maracujá,4
bebidas,4
finalistas,3
gente,3
itaim.,3
tendências,3
"que,",3
"açúcar,",3
marcas,3
auda,3
"ano,",3
sendo,3
curioso,3
centro,3
envelhecida,3
pavilhão,3
200,3
dash,3
amigostodos,3
bistrô,3
frajola,3
infusão,3
consultora,3
continua,3
qualidade,3
fatia,3
koji,3
vida,3
programação,3
nunca,3
releituras,3
bem?essa,3
interessante,3
focar,3
criados,3
riviera,3
visitar,3
azeitonas,3
"coco,",3
exemplo,3
hotel,3
seguir,3
janeiro.,3
amaro,3
47,3
ideal,3
"brandy,",3
oficial,3
oferece,3
disse,3
gosta,3
"pisco,",3
américa,3
preparar,3
ana,3
moscow,3
mês,3
.,3
sul,3
haddock,3
sonora,3
mamma,3
chefe,3
"mapu,",3
"sabe,",3
cliente,3
speakeasy,3
ficou,3
french,3
começa,3
"pepe,",3
muitos,3
prefere,3
vão,3
investindo,3
"ipiranga,",3
aconteceu,3
estarão,3
peças,3
finalizar,3
cortina.,3
bom,3
"balcão,",3
garrafas,3
rodrigo,3
branco,3
"benedictine,",3
longa,3
foco,3
"junho,",3
dj,3
"laranja,",3
opção,3
maiores,3
site,3
ótimos,3
itália,3
livro,3
ter,3
cecì.,3
"noite,",3
victor,3
alê,3
nesta,3
quero,3
encontrei,3
- ,3
atrás,3
com ,3
"sábado,",3
tintura,3
agora,3
coluna,3
frank,3
sp,3
desde,3
início,3
derivan,3
famoso,3
direto,3
grand,3
alex,3
"seen,",3
região,3
abre,3
my,3
high,3
"pepino,",3
existe,3
projeto,3
noite,3
fábrica,3
festas,3
dona,3
bruno,3
setor,3
cortina,3
referências,3
"marca,",3
quase,3
apresentar,3
exclusiva,3
marcar,3
trabalho,3
inspirada,3
breve,3
sylvester,3
produto,3
porto,3
série,3
tequila,3
telefone,3
última,3
liz,3
alameda,3
sugestão,3
(uma,3
tradicional,3
sede,3
"olá,amigos.todos",3
fácil,3
1,3
guest,3
experience,3
(ou,3
deste,3
gilberto,3
lado,3
"oloroso,",3
"tequila,",3
parece,3
"pinheiros,",3
costafoto:,3
sócios,3
"guilhotina,",3
segue,3
"disso,",3
aparece,3
"lobo,",3
",",3
fino,3
grande,3
coleção,3
preferido,3
"2022,",3
eduardo,3
nico,3
assinada,3
andres,3
13,3
guilhorina.,3
e ,3
fazem,3
chega,3
maria,3
bloody,3
maçã,3
shows,3
dar,3
especial,3
fim,3
"abacaxi,",3
próxima,3
concurso,3
artesanal,3
criado,3
fernet,3
conhecido,3
divulgação,3
inaugurar,2
"cítrico,",2
mule.,2
espanha,2
rótulo,2
moda,2
lê,2
oportunidade,2
pindorama,2
tomei,2
"angostura,",2
"anunciada',",2
lais,2
destacar,2
barris,2
cuisine,2
"ocasião,",2
publicidadeentrada,2
atenção,2
"vodca,",2
local,2
inspiração,2
"não,",2
cidade.,2
nesse,2
vi,2
visitamos,2
"pandemia,",2
desenvolvida,2
d'agostino,2
lobby,2
spritz,2
cynar,2
dryquiri,2
(mas,2
moon,2
"martini,",2
carnaval.,2
kennedy,2
"tavares,",2
seen,2
bombay,2
"lugares,",2
mix,2
santana.,2
simon,2
caviar,2
receita,2
fat,2
serviço,2
todas,2
kenji,2
infusionada,2
ver,2
"campari,",2
competitioncontinua,2
là,2
legal,2
partes,2
tahiti,2
assinatura,2
carvalho,2
sei,2
"13,",2
coisas,2
"spritz,",2
mês),2
"evento,",2
desembarcando,2
inspirado,2
exclusivos,2
jeito,2
"1970,",2
mentoria,2
olhos,2
aroma,2
22,2
"amigos,todos",2
"óbvio,",2
ambiente,2
"43,",2
"fashioned,",2
"olá,amigostodos",2
"tostado,",2
enquanto,2
"azeite,",2
visual,2
cartas,2
turma,2
amendola/arquivo,2
"amêndoas,",2
produzida,2
"janeiro,",2
coisa,2
custa,2
gerente,2
toca,2
rat,2
donna,2
"(aqui,",2
preços,2
"março,",2
carne,2
incentivar,2
publicidadealém,2
avenida,2
corpo,2
prédio,2
love,2
garrafa,2
"mace,",2
venda,2
disponíveis,2
tão,2
redondinho,2
rafael,2
acontecer,2
público,2
importantes,2
paulista,2
cima,2
baile,2
"mãe,",2
"18,",2
pessoalcontinua,2
cítrico,2
"sec,",2
lamas,2
"14,",2
principais,2
"cupuaçu,",2
independência,2
tipo,2
cambuci,2
irão,2
coquetéis.,2
doce,2
novidade,2
alexandrion,2
31,2
complexo,2
mestre,2
previamente,2
copa,2
circolo,2
victoria,2
18,2
empreendimento,2
autorais.,2
fatinha,2
"mas,",2
estará,2
brunch,2
aposta,2
noel,2
shopping,2
embaixada,2
blanco,2
publicidadejá,2
espumante,2
"é,",2
volpe,2
"bcb,",2
alexandre,2
laranja.,2
75,2
bons,2
lisboa,2
frutas,2
sessão,2
"isso,",2
noites,2
cineclube,2
desenvolvimento,2
solução,2
bairro,2
influentes,2
hotel.,2
head,2
redução,2
caso,2
olá,2
recém-aberto,2
"yuzu,",2
drinks,2
passa,2
paulo.,2
quer,2
"lima,",2
clássicos.,2
recebe,2
mary,2
ferreira,2
país,2
"ford,",2
bar.foto:,2
(e,2
amadurecimento,2
barbie,2
felipe,2
"jazz,",2
primeiro,2
"maraschino,",2
nevada,2
"conhaque,",2
italianos,2
original,2
artista,2
nove,2
'a,2
documentário,2
limitada,2
fernando,2
trabajo.,2
publicidadeno,2
60,2
divulgaçãofoto:,2
empreendedora,2
litoral,2
coquetéis.foto:,2
"araújo,",2
sido,2
"hidromel,",2
celebra,2
encontros,2
decoração,2
collab,2
pratos,2
zona,2
alto,2
próximos,2
camarote,2
triple,2
garden,2
pessoal.foto:,2
quais,2
alguma,2
período,2
charmosa,2
hortelã,2
assinado,2
',2
homenageia,2
purê,2
trilha,2
apresentações,2
prontos,2
bargo,2
2022,2
adega,2
própria,2
lugares,2
soft,2
icônico,2
"rossi,",2
luz,2
passos,2
"mesquita,",2
procura,2
deixe,2
bem?hoje,2
sob,2
pinheiros.coquetel,2
'crônicas,2
gastronomia,2
campeonato,2
drô,2
mate,2
"bartenders,",2
amigos.,2
"fevereiro,",2
foto.,2
portas,2
comandado,2
amigos!todos,2
"jerez,",2
lemon,2
embaixo,2
dedicada,2
desconto,2
técnica,2
publicidadecomo,2
ano.,2
batizam,2
vale,2
chocolate,2
competition,2
feita,2
"bares,",2
comida,2
soda,2
y,2
premiados,2
coagem,2
coqueteleira,2
"angostura),",2
),2
mãos,2
sucessos,2
souza,2
recente,2
"donna,",2
aperol,2
"jagermeister,",2
boato,2
schwarzwald,2
cold,2
confirmou,2
mistura,2
motivo,2
"dezembro,",2
momento,2
fords,2
latina,2
"gengibre,",2
taça,2
barril,2
santana,2
encontro,2
"quinta-feira,",2
bernacca,2
coqueteleiras,2
(o,2
lançou,2
pernod,2
brasilidades,2
criações,2
deixa,2
utilização,2
trajetória,2
"fino,",2
merece,2
nasceu,2
2023,2
amigos!,2
rapaz,2
torta,2
35),2
"branca,",2
jabalí,2
19h,2
"amaro,",2
iniciou,2
completar,2
workshop,2
and,2
indicar,2
criador,2
estrelas,2
"principalmente,",2
sexta,2
desenvolvido,2
"coentro,",2
etílica,2
joão,2
carijó,2
chegou,2
destes,2
tornar,2
highball,2
especialmente,2
comemorando,2
estadãojá,2
brut.,2
diageo,2
"tiquira,",2
veisid,2
produtos,2
"negroni,",2
caledônia,2
"tem,",2
cinco,2
especiarias,2
citado,2
"olá,amigos!todos",2
levar,2
atende,2
atendido,2
sei.,2
bar.continua,2
norte,2
"especial,",2
largo,2
na rua,2
pack,2
club,2
onde,2
tentar,2
volto,2
variam,2
indicação,2
experimente,2
milk,2
pras,2
latino,2
rosso,2
coffee,2
endereço,2
picles,2
ovo,2
edições,2
convidados,2
ganhar,2
"framboesa,",2
óleos,2
filme,2
"terra,",2
sucesso,2
mães,2
regular,2
"bienal,",2
destaca,2
vini,2
"leva,",2
melhor,2
restaurantela,2
"envelhecido,",2
mauricio,2
uso,2
seco,2
fala,2
"(pisco,",2
consegue,2
fiz,2
essenciais,2
"amaretto,",2
cerqueira,2
4,2
ideia.,2
"toranja,",2
dupla,2
"santana,",2
cheia,2
cenas,2
gostam,2
defumado,2
"mulher,",2
variações,2
foliões,2
costa,2
descobrir,2
av,2
"coqueteleira,",2
"ferreira,",2
base,2
pertencente,2
preparando,2
chamar,2
consumo,2
marco,2
novidades,2
comemorativa,2
barbosa,2
repleto,2
s.,2
"porto,",2
cajuína,2
donos,2
loja,2
"branco,",2
