word,count
ano,106
vinho,106
vinhos,102
uvas,70
safra,58
maior,42
"passado,",38
segundo,34
malbec,34
qualidade,30
pão,30
vinícola,28
rótulos,28
milhões,28
ter,26
brasileiro,24
vinho.,24
ainda,24
rosé,24
apenas,24
vinhedos,24
mercado,24
catena,22
consumidor,22
variedades,22
mil,22
brasil,22
vendas,22
diz,22
bordeaux,20
garrafas,20
vinícolas,20
afirma,18
almaviva,18
passado.,18
–,18
crescimento,18
primeiro,18
cabernet,18
novas,18
começou,18
melhor,18
todos,18
"vinho,",18
"2020,",16
boa,16
agora,16
"malbec,",16
cada,16
"exemplo,",16
têm,16
epu,16
vendido,14
companhia,14
"ano,",14
tintos,14
sauvignon,14
venda,14
elaborados,14
campanha,14
volume,14
grandes,14
país,14
variedade,14
dois,14
anos,14
conta,14
grupo,14
região,14
história,14
empresa,14
deste,14
grande,14
produtores,14
consumo,14
açúcar,14
fim,14
online,12
maturação,12
neste,12
nesse,12
parte,12
vct,12
ideal,12
vez,12
hectares,12
linha,12
serra,12
falta,12
outro,12
podem,12
maiores,12
argentina,12
brancos,12
y,12
brasileiro.,12
deve,12
sempre,12
chegou,12
estoques,12
passado,12
consumidores,12
dessa,12
"agora,",12
nessa,12
preço,12
rótulo,10
marcas,10
2020,10
"salton,",10
garrafa,10
espumantes,10
porque,10
mostrar,10
valor,10
uva,10
foco,10
mudança,10
desde,10
ano.,10
brasil.,10
todo,10
projeto,10
conhecimento,10
e-commerce,10
fazer,10
"anos,",10
concha,10
hoje,10
alguns,10
barricas,10
brasileira,10
três,10
"argentina,",10
fez,10
importação,10
"2021,",10
problemas,10
rosado,10
"gaúcha,",8
francês,8
don,8
muita,8
investir,8
quatro,8
plano,8
todas,8
vender,8
elaborado,8
dados,8
lojas,8
exemplo,8
seguem,8
coisa,8
"rótulos,",8
tanto,8
faz,8
ficou,8
passa,8
cabral,8
"reservado,",8
importadora,8
entender,8
estratégia,8
"garrafas,",8
própria,8
"tintos,",8
aumento,8
canal,8
"brasil,",8
destaque,8
açúcar.,8
devemos,8
início,8
salton,8
origem,8
vinhos.,8
momento,8
época,8
plataforma,8
filial,8
produção,8
"principalmente,",8
"vinhos,",8
década,8
pesquisa,8
5%,8
brasileiros,8
vamos,8
sucesso,8
outros,8
relação,8
"epu,",8
demais,8
trabalhar,8
"almaviva,",8
total,8
rosados,8
acho,8
parceria,8
estoque,8
começo,8
indústria,8
colher,8
cerca,8
duas,6
área,6
enólogo,6
"país,",6
representa,6
nacionais,6
"vinhedo,",6
principalmente,6
tabela,6
"normal,",6
varejista,6
del,6
proposta,6
"catena,",6
próximo,6
primeiras,6
"sauvignon,",6
"argenta,",6
totalmente,6
"tempo,",6
outra,6
pode,6
melchor,6
escolhidas,6
preciso,6
preços,6
seis,6
caminho,6
campanha.,6
"qualidade,",6
bordeaux.,6
tempo,6
vinhas,6
"total,",6
últimos,6
michel,6
cultivadas,6
antes,6
cruzamento,6
diretor,6
enólogos,6
comercial,6
ações,6
"lafite,",6
"linha,",6
vão,6
passou,6
"espumantes,",6
marketing,6
ganho,6
abrir,6
entrada,6
chileno,6
documentário,6
"maturação,",6
rede,6
piedra,6
referência,6
chuva,6
feito,6
parceira,6
percebeu,6
"bajda,",6
deu,6
"mendoza,",6
parceiros,6
primeira,6
nada,6
chilena,6
famílias,6
mercado.,6
ideia,6
acontece,6
números,6
"winery,",6
grand,6
entraram,6
safra.,6
"vinhedos,",6
merlot,6
espaço,6
cresceu,6
argentinos,6
10%,6
2020.,6
casca,6
lançado,6
menos,6
"tardia,",6
investimento,6
quase,6
safras,6
acredito,6
reajuste,6
acordo,6
humanizar,6
pessoas,6
pensando,6
número,6
mesa,6
20,6
leveduras,6
muito.,6
club,6
porcentagem,6
quantidade,6
onde,6
redor,6
"“atualmente,",6
desta,6
10,6
contrário,6
casa,6
dificuldade,6
prática,6
14%,6
consultoria,6
avanço,6
geadas,6
governo,6
entrar,6
queremos,6
define,6
acidez,6
consumidor.,6
maioria,6
loja,6
novo,6
presidente,6
muitas,6
mundo,6
"chardonnay,",6
vêm,6
manter,6
ideal.,6
perceber,6
potencial,6
mesma,6
clima,6
contar,6
2019.,6
movimento,6
