word,count
após,31
fazer,23
panela,21
bem,17
três,17
use,15
geladeira,14
adega,13
receita,12
limão,12
sal,12
queijo,11
casca,11
preparar,10
chef,10
casa,10
todos,10
velha,9
duas,9
finalizar,9
lombo,9
cozinha,9
sanduíche,9
cura,9
tudo,9
processo,8
outras,8
água,8
ponha,8
vez,8
fatias,8
receitas,8
picles,8
grande,8
pão,8
sobre,8
massa,8
pote,7
pode,7
ir,7
pato,7
antes,7
jacquin,7
primeiro,7
"coppa,",7
pouco,7
aí,7
--,7
salga,7
bastante,6
dia,6
patrícia,6
limões,6
abrir,6
boa,6
dois,6
hora,6
pancetta,6
assado,6
todo,6
vezes,6
aqui,6
melhor,6
ficaram,6
ainda,6
fondue,6
apenas,6
vou,6
café,6
mundo,6
vídeo,5
precisa,5
parte,5
seis,5
porque,5
embutidos,5
anos,5
primeira,5
ficar,5
fica,5
publicidade,5
bacalhau,5
cada,5
erick,5
dá,5
preparo,5
prato,5
fácil,5
outros,5
casa?,5
rainha,5
transformar,5
gente,4
codo,4
assim,4
toda,4
quatro,4
minutos,4
capítulo,4
elizabeth,4
3,4
ver,4
carnes3.como,4
comprei,4
partir,4
sirva,4
colocar,4
carnes,4
manteiga,4
coisa,4
preparação,4
ingredientes,4
temperatura,4
meio,4
5,4
tempo,4
faz,4
ana,4
embutidos2.como,4
usar,4
outro,4
"fogo,",4
(e,4
peças,4
espere,4
original,4
massa.,4
vem,4
feito,4
lugar,4
prado/estadão,4
ter,4
meses,4
deixe,4
ideia,4
passo,4
finas,4
cura4.como,4
semanas,4
lá,4
chegou,4
sanduíches,4
levar,4
mesa,4
20,4
bauru,4
derreter,4
série:1.como,4
acompanhe,4
semana,4
vontade,4
sauro,4
focaccia,4
cheia,4
corte,4
"fondue,",4
dar,4
matheus,4
alecrim,4
dentro,4
francês,3
gomos,3
utensílios,3
transformação,3
qualquer,3
"pote,",3
mal,3
passar,3
"vida,",3
"gastronômico,",3
sei,3
camada,3
"limão,",3
precisar,3
jeito,3
tempere,3
"casa,",3
leva,3
faça,3
"azeite,",3
ano,3
custa,3
assadeira,3
"-,",3
(a,3
tão,3
"queijo,",3
problema,3
facas,3
alho-poró,3
cebola,3
forno,3
ii,3
quiser,3
tire,3
legumes,3
tendo,3
testar,3
usando,3
ensina,3
restaurantes,3
"depois,",3
barbie,3
violência,3
bom,3
tiras,3
livrocomida,3
fernando,3
uns,3
rapidamente,3
fundo,3
lascas,3
tamanho,3
purê,3
saiu,3
nada,3
lâmina,3
fogo,3
tirinhas,3
jantar,3
rápido,3
noite,3
história,3
menos,3
filha,3
quase,3
anos.,3
combina,3
várias,3
miolo,3
caldo,3
comer,3
evento,3
restaurante,3
quantidade,3
dez,3
faca,3
volta,3
"disso,",3
fiz,3
trabalhar,3
além,3
conheço,3
preparei,3
loja,3
azeite.,3
sachê,3
começar,3
2,3
caixa,3
fim,3
"fazer,",3
azeite,3
suco,3
diz,3
ponto,3
envolvi,2
homens,2
neste,2
gomo,2
moda,2
muita,2
mim.,2
"gastronômicas,",2
reis,2
vivi,2
comprar,2
sendo,2
15,2
certa,2
ouvi,2
nesse,2
ostermos,2
algumas,2
seguinte:,2
ajuda,2
"inventando,",2
festa,2
umas,2
sai,2
separe,2
horas,2
fique,2
veja,2
maneiras,2
"informal,",2
todas,2
cozinhar,2
aprenda,2
colágeno,2
difícil,2
"quebra,",2
maior,2
partes,2
parecido,2
durou,2
lojas,2
outra,2
"exterior,",2
cubra,2
presunto,2
ambiente,2
prender,2
enquanto,2
xícara,2
moído.,2
filha.,2
"ferro,",2
"amigos,",2
seguir,2
"queijos,",2
gerente,2
igual,2
amigo,2
embutidos.,2
publicidadequer,2
perder,2
embalar,2
mulheres,2
venda,2
limões-sicilianos,2
espalhe,2
tomar,2
aclimação,2
bom.,2
"aqui,",2
"sal,",2
perto,2
conserva,2
11h,2
coloquei,2
tipo,2
envolver,2
aproveitei,2
cenoura,2
tartare,2
queria,2
scarabotta,2
casa:,2
entrou,2
concorda,2
morrer,2
manda,2
versão,2
sementes,2
extrair,2
"nova,",2
terceiro,2
vidro,2
fermento,2
sextas-feiras.inscreverao,2
tirar,2
testes,2
ia,2
aí.,2
"chá,",2
clássico,2
passou,2
apoie,2
curando,2
pouquinho,2
(hoje,2
tradição,2
cardápio,2
extinto).,2
superfície,2
vermute,2
grosso,2
sigo,2
editora,2
agressões,2
contra,2
lições,2
entender,2
precisei,2
"usar,",2
especializado,2
panela.,2
alho,2
bata,2
rosbife,2
mesmos,2
"ingredientes,",2
"série,",2
gabriela,2
truque,2
site,2
aberto,2
bares,2
pupunha,2
curadas,2
óleo,2
colheres,2
"dias,",2
feliz,2
reino,2
"ele,",2
ar,2
"pão,",2
ensinou,2
sob,2
tentando,2
pedi,2
umidificador,2
salgar,2
twist,2
segundo,2
quanto,2
aparelho,2
direto,2
alex,2
feitas,2
aliche,2
chapeiro,2
senac,2
moída,2
modo,2
feita,2
espera,2
siga,2
panelas,2
olhar,2
longe,2
foto:,2
casamento,2
"iii,",2
críticas,2
usoepolítica,2
iogurte,2
pimenta,2
frango,2
(o,2
entra,2
daquele,2
ml,2
mil,2
saí,2
programa,2
mexendo,2
abaixo.faça,2
queijos,2
dias,2
levou,2
homem.,2
farinha,2
"tomate,",2
cozinheiro,2
"francês,",2
deve,2
and,2
querendo,2
têm,2
"muito,",2
série,2
leve,2
passo-a-passo,2
fake,2
usar.,2
levei,2
tradicional,2
família,2
"dia,",2
usadas,2
peçasfoto:,2
1,2
pessoas,2
blog,2
"receita,",2
aviso,2
aqui.foto:,2
só.,2
indicação,2
melhores,2
"gastronomia,",2
barriga,2
tampa,2
descascador,2
pimentas,2
mãe,2
co.,2
cozinheiros,2
sabor,2
acabou,2
fabricante,2
"newsletters,",2
gim,2
castanhas,2
dificuldade,2
hoje,2
marca,2
&,2
erro.,2
vinho,2
salgadas,2
compra,2
urgente,2
saber,2
paciência,2
ideias,2
paladar,2
toque,2
china,2
