word,count
cachaça,123
cachaças,87
?,69
após,55
cúpula,53
ranking,48
pontos,48
premium,45
extra,40
50,29
três,27
prata,27
"cachaça,",24
destilado,23
luiz,23
ano,23
cada,23
reserva,23
carvalho,22
degustação,22
foto:,21
anos,20
brasil,20
blend,20
mercado,20
lista,19
vez,19
madeiras,19
onde,19
xavier,19
durante,18
ouro,18
qualidade,17
grau,17
rio,17
edição,17
fase,17
grande,17
haus,16
especialistas,16
isabel,16
sommelier,15
marcas,15
qualquer,15
3,15
bebida,14
destilados,14
melhores,14
profissionais,14
santo,14
quer,13
cachaçaria,13
nacional,13
selection,13
produção,13
produto,13
seleção,12
envelhecida,12
minas,12
todas,12
primeira,12
dias,12
paulo,12
cinco,12
12,12
finalistas,11
categoria,11
cachaça.,11
bem,11
bar,11
queridas,11
boa,11
concurso,11
pirajá,10
segunda,10
pode,10
6,10
cegas,10
mondial,10
grupo,10
todo,10
deste,10
spirits,10
todos,10
bebidas,10
concours,9
7,9
duas,9
orgânica,9
maior,9
by,9
8,9
produzida,9
podem,9
votação,9
dois,9
nesta,9
desde,9
fazer,9
produtos,9
características,9
melhor,9
ainda,9
4,9
além,9
amostras,9
dentro,9
barris,8
jaqueira,8
selo,8
serra,8
país,8
v,8
garrafas,8
weber,8
diversas,8
mateus,8
especialista,8
"brasil,",8
amburana,8
rótulos,8
ema,8
américo,8
aqui,8
trabalho,8
certificação,8
engenho,8
número,8
solution,8
mauricio,8
integrantes,8
armazenada,8
"ranking,",7
"macaúva,",7
estados,7
cidade,7
outras,7
premium/extra,7
250,7
ivoti/rs,7
painel,7
publicidadeo,7
armazenadas,7
diversos,7
tônica,7
consumidor,7
vem,7
"mundo,",7
estadãocontinua,7
somente,7
vale,7
região,7
jurados,7
origem,7
quinta,7
and,7
resultado,7
sempre,7
série,7
final,7
"anos,",7
maia/arquivo,7
bré,7
10,7
bello,7
outros,7
branca,7
brasileira,7
produtores,7
novo,7
tudo,7
sobre,7
isadora,7
salinas/mg,7
presente,6
bucco,6
rótulo,6
"ano,",6
sebastiana,6
toda,6
votantes,6
companheira,6
brasileiro,6
2013,6
parte,6
dia,6
principais,6
tanto,6
verde,6
lençóis,6
comercial,6
nomes,6
cúpulos,6
apesar,6
jequitibá,6
nada,6
acontece,6
brasiliense/sp,6
"(sp),",6
albano,6
gonçalvesrscasa,6
tarefa,6
sabores,6
cana,6
iv,6
definição,6
porém,6
experiência,6
terceira,6
marca,6
hoje,6
parceria,6
xviii,6
pura,5
"país,",5
algumas,5
tiquira,5
diferentes,5
princesa,5
"popular,",5
ver,5
participação,5
campo,5
"cachaças,",5
apoio,5
sul,5
"mercado,",5
atividade,5
título,5
outro,5
ficou,5
através,5
grandes,5
forma,5
ranqueadas,5
variedade,5
ter,5
guaaja,5
reconhecimento,5
posso,5
último,5
vicente,5
chã,5
"final,",5
brasil.,5
cristal,5
termo,5
degustações,5
projeto,5
existe,5
flecha,5
montes,5
santa,5
medalhas,5
"maranhão,",5
mil,5
pessoalfoto:,5
leve,5
linhares/es,5
última,5
tempos,5
"claro,",5
pessoas,5
20,5
5º,5
realmente,5
pontuação,5
convidados,5
rita,5
casa,5
serviços,5
alguns,5
dizer,5
paladar,5
total,5
base,5
matriarca,5
analândia,5
soledade,5
muitas,5
2,5
"(ma),",5
3º,5
2º,5
velha,4
engenhos,4
nova,4
"""spirits",4
destacar,4
atenção,4
eleger,4
fazenda,4
11,4
principalmente,4
"bar,",4
30,4
valorização,4
atuais,4
continuam,4
coquetelaria,4
coqueiro,4
verzolafoto:,4
magnífica,4
milton,4
cegas.,4
grande/pe,4
coisa,4
amaro,4
certificado,4
(rótulo,4
público,4
paulista/sp,4
denominação,4
finomgdo,4
"fase,",4
novos,4
ocupacional,4
18,4
países,4
chef,4
bons,4
maranhão,4
afirmar,4
geográfica,4
signature,4
atividades,4
vão,4
categorias,4
pedra,4
josé,4
jandaia,4
bom,4
visão,4
divulgaçãofoto:,4
feito,4
festival,4
chefs,4
tradicionais,4
alto,4
maiores,4
lugar,4
importante,4
site,4
armazenadas/envelhecidas,4
fica,4
"inox,",4
sob,4
azul,4
ocupação,4
destaque,4
agora,4
início,4
distribuidora,4
quanto,4
segundo,4
ocupações,4
resultados,4
nosco,4
cbo,4
paulistaspengenho,4
encontro,4
itirapuã/sp,4
profissional,4
internacional,4
