word,count
café,115
após,70
cafés,39
"café,",33
além,28
grãos,27
qualidade,24
parte,24
neto/arquivo,24
ensei,24
mercado,24
região,23
dia,22
cerrado,20
maior,19
grande,19
conilon,18
cafeicultores,17
"paulo,",17
coffee,17
anos,16
partir,15
primeira,15
onde,15
mulheres,14
boa,14
ter,14
"brasil,",14
cada,14
sistema,14
origens,14
vila,14
sendo,13
diversos,13
todo,13
origem,13
durante,13
alta,13
produtos,13
fazenda,12
sul,12
podem,12
espresso,12
momento,12
brasil,12
produção,12
casa,12
cafeterias,12
ainda,12
todos,12
açúcar,12
processo,11
diferentes,11
serviço,11
brasileiro,11
bem,11
"mercado,",11
forma,11
rede,11
alto,11
importante,11
dois,11
desde,11
torra,11
cafeteria,11
lotes,11
barista,11
fazer,11
sabor,11
produtores,11
principalmente,10
pode,10
bebida,10
ingredientes,10
meio,10
início,10
junto,10
têm,10
pessoas,10
especial,10
nome,10
bastante,9
forte,9
enquanto,9
tempo,9
café.,9
bom,9
pois,9
apesar,9
sítio,9
certificação,9
produto,9
métodos,9
sempre,9
outros,9
hoje,9
fazem,9
sobre,9
neste,8
duas,8
outras,8
produzido,8
ambiente,8
atividades,8
passou,8
diversas,8
"mineiro,",8
fica,8
sob,8
modo,8
"minas,",8
resultados,8
ml,8
trabalho,8
criar,8
experiência,8
adoçante,8
cafeicultura,8
processos,8
bebidas,8
conhecido,8
ano,7
"hoje,",7
disponíveis,7
tão,7
faz,7
sensorial,7
serem,7
caso,7
bar,7
primeiro,7
vem,7
lote,7
espaço,7
belo,7
internacional,7
preparo,7
família,7
tradicional,7
melhores,7
começou,7
micro,7
fez,7
novo,7
pós,7
telefone:,7
50,7
nova,6
mineiro,6
infusão,6
todas,6
"pessoas,",6
informações,6
lojas,6
tecnologia,6
porque,6
américa,6
longo,6
shopping,6
países,6
café.foto:,6
torrefação,6
divulgação.continua,6
colômbia,6
grão,6
aniversário,6
criou,6
primeiros,6
foco,6
devido,6
histórias,6
lançamento,6
publicidade,6
liderança,6
oferecer,6
equivalente,6
chocolate,6
comum,6
"cafeterias,",6
empresa,6
dias,6
publicidadea,6
média,6
paulo,6
norte,6
excelente,6
"também,",6
uso,6
alimentos,6
base,6
três,6
muitas,6
cacau,6
ponto,6
cafeína,6
beber,5
poderia,5
empregando,5
"que,",5
regiões,5
especiais,5
fazedores,5
próximo,5
gestão,5
universidade,5
colheita,5
leva,5
material,5
xícara,5
modelo,5
principais,5
oferece,5
notas,5
criação,5
linha,5
mulher,5
"um,",5
"conilon,",5
"isso,",5
outro,5
criando,5
grandes,5
consumidor,5
referência,5
"chocolate,",5
variedade,5
conhecida,5
própria,5
25,5
"central,",5
conta,5
permite,5
quanto,5
segundo,5
posição,5
"novembro,",5
santa,5
lançou,5
objetivo,5
resultado,5
"paulista,",5
final,5
pouco,5
"anos,",5
deste,5
pinheiros.,5
unidade,5
ovo,5
especialidade,5
razão,5
relação,5
abriu,5
possui,5
poder,5
campeão,5
brasileira,5
brasileiras,5
mantém,5
maioria,5
etapa,5
princípio,5
concurso,5
indústria,5
movimento,5
seleção,4
assim,4
disponível,4
"ano,",4
local,4
associações,4
centro,4
garantia,4
utensílios,4
estados,4
cidade,4
planícies,4
qualquer,4
cápsulas,4
"mg,",4
mineiro.,4
baristas,4
3,4
cultivo,4
30,4
programação,4
primeiras,4
vida,4
janeiro,4
água,4
plantas,4
passagem,4
"1970,",4
"tempo,",4
"casa,",4
cujo,4
"entanto,",4
boas,4
divulgaçãocontinua,4
vencedores,4
"janeiro,",4
hotel,4
papel,4
avenida,4
caminho,4
campo,4
práticas,4
novos,4
clássicos,4
preparar,4
incluindo,4
últimos,4
competições,4
fortes,4
páscoa,4
sugestões,4
equipamento,4
central,4
bairro,4
pelé,4
"horizonte,",4
tendo,4
torrados,4
muitos,4
país,4
solúvel,4
serve,4
instagram:,4
"caparaó,",4
"para,",4
entidades,4
pequena,4
"sato,",4
combinação,4
propriedade,4
reconhecimento,4
the,4
melitta,4
workshop:,4
produtor,4
"cafeína,",4
robusta,4
conhecimento,4
lançado,4
"exemplo,",4
degustação,4
lembra,4
trabalha,4
brasileiros,4
tornando,4
eventos,4
excelentes,4
rua,4
entidade,4
obtido,4
"preparo,",4
substâncias,4
fase,4
marca,4
"naturais,",4
baixo,4
geadas,4
laranja,4
alguns,4
"2022,",4
matas,4
ajudar,4
"araguari,",4
oworld,4
acidez,4
produtoras,4
14,4
loja,4
santo,4
secagem,4
mundo,4
acompanhar,4
clima,4
teor,4
competição,4
divisão,3
drip,3
du,3
companhia,3
oportunidade,3
área,3
encontrados,3
experimentar,3
cachaça,3
lista,3
pai,3
algumas,3
cursos,3
carta,3
projetos,3
experiências,3
valorização,3
conhecidos,3
"liberdade,",3
"pesquisa,",3
principal,3
chocolates,3
carvalho,3
língua,3
degustadores,3
montanhas,3
estímulo,3
"dell'arabica,",3
ficam,3
"portanto,",3
havia,3
inicialmente,3
seguir,3
leite,3
preços,3
padaria,3
carne,3
vez,3
áreas,3
"região,",3
avaliação,3
pessoalcontinua,3
"paraná,",3
"qualidade,",3
apresenta,3
concursos,3
suíça,3
gosta,3
tanto,3
coe,3
único,3
fazendo,3
qualidade.,3
vodka,3
"colheita,",3
pergunta,3
mês,3
