word,count
receita,28
pedro,27
passo,15
receitas,15
cachoeira,14
episódio,13
—,12
bem,12
serra,12
rio,11
fazer,11
assista,11
alfredo,10
"""cozinha",10
fica,10
cozinha,10
família,10
todos,10
molho,10
temporada,10
toda,9
dividir,9
aqui,9
"aí"",",9
churrasqueira,9
atributos.,8
uol,8
noyoutube,8
aíreúne,8
práticas,8
"quentes,",8
novos,8
sul,8
pede,8
uolinverno,8
sinônimo,8
aí2ª,8
vídeos).,8
amigos.,8
canal,8
canalpara,8
receber,8
inscreva,8
sériecozinha,8
semana,8
natureza.,8
grande,8
"viagem,",8
saborosas,8
novo,8
nossa(ese,8
lembretes,8
"serra,",8
cidade,7
cebola,7
região,7
abaixo,7
"catarinense,",6
aprenda,6
metros,6
água,6
principal,6
pode,6
faz,6
brasa,6
chef,6
imagem,6
primeira,6
gruta,6
dá,6
lá,6
comer,6
tapas,6
mundo,6
batata,6
wagner,5
duas,5
confira,5
fácilver,5
processo,5
veja,5
aquecer,5
carne,5
dia,5
chegar,5
outro,5
muitos,5
podem,5
boa,5
banana,5
festival,5
lugar,5
estrada,5
lugares,5
todo,5
programa,5
prato,5
cenários,5
destino,5
alguns,5
além,5
"wagner,",5
dentro,5
clicando,5
tapasimagem:,4
vídeo,4
cenário,4
segunda,4
porções,4
cujo,4
parte,4
calor,4
"episódio,",4
belos,4
mirante,4
bar,4
fogão,4
"bem,",4
branco,4
hora,4
frigideira,4
influenciador,4
altos,4
apresentador,4
paulo,4
paisagem,4
pequenas,4
entenda,4
deste,4
linda,4
sabor,4
pão,4
sobre,4
açúcar,4
minver,4
churrasqueirae,3
"dopancho,",3
geral,3
gente,3
terra,3
donhoque,3
"que,",3
pinto,3
minutos,3
"doguruguaio,",3
costumam,3
morro,3
parrilla,3
barbecue,3
"mandioquinha,",3
quente,3
leva,3
presunto,3
bebida,3
hot,3
preparos,3
dapizza,3
tapa,3
monta,3
leite,3
"aí""",3
completo,3
frente,3
ingredientes,3
dedos,3
folha,3
temperatura,3
tipo,3
meio,3
doce,3
uolo,3
preparar,3
instalada,3
antes,3
brasaàs,3
país?,3
ensina,3
clássico,3
batatas,3
tradição,3
margens,3
primeiro,3
feito,3
variedade,3
dois,3
mostra,3
bares,3
refeição,3
propriedade,3
véu,3
nada,3
25,3
nesta,3
conta,3
anchoecamarõesna,3
sócio,3
vista,3
sulimagem:,3
"demaquiné,",3
cada,3
saborosa,3
santa,3
casca,3
"vez,",3
tortilha,3
vezes,3
abarriga,3
fácil4,3
nenhuma,3
aí/uolquer,3
laís,3
trabalho,3
sobremesa,3
rural,3
interior,3
aperitivo,3
têm,3
sempre,3
fácil,3
pessoas,3
juntar,3
quantidade,3
onde,3
porco,3
'vamos,3
desta,3
vistaimagem:,3
praia,3
casa,3
visitantes,3
fazerespetinhosepeixe,3
vinhedo,3
debife,3
estilo,3
apenas,3
porcoem,3
corte,3
dessa,3
almoço,3
"deatlântida,",3
"pinta,na",3
pedida,3
altura,3
completa,3
d'água,3
assar,3
conhecido,3
oscar,2
francês,2
triturada,2
saída,2
grutas,2
volte,2
considerada,2
"forno,",2
sopa,2
qualquer,2
san,2
42,2
manhã,2
"rastro,",2
falafel,2
preto,2
horas,2
diferentes,2
fique,2
cozinhar,2
cênicas,2
ver,2
precisa,2
lindo,2
"carne,",2
aíimagem:,2
jeito,2
"linguiça,",2
outra,2
completacozinha,2
valer,2
defumada,2
tipos,2
luiz,2
"sebastian,",2
porções30,2
temporada!costelinha,2
exemplo,2
"amigos,",2
coisa,2
temporadana,2
pegar,2
ir,2
vez,2
paisagens,2
campo,2
avista,2
adaptações,2
cima,2
compartilhar,2
esquentar,2
"mãos,",2
apresenta,2
au,2
livre,2
conforme,2
pena,2
porque,2
clássicos,2
saladinha,2
"schnitzel,",2
casa:,2
prova,2
quiser,2
agrega,2
países,2
"é,",2
shuk,2
colegas,2
"isso,",2
fermento,2
tirar,2
"urubici,",2
usando,2
começa,2
"tudo,",2
panela,2
viagem,2
quer,2
"""tapas""",2
algum,2
mauro,2
usada,2
cultura,2
getty,2
explica,2
turismo,2
restaurantes,2
serve,2
macio,2
bom,2
pedaçudaimagem:,2
entrada,2
bolinho,2
arte,2
típico,2
"ingredientes,",2
"cuia,",2
"atraçõesradicais,incríveis",2
zona,2
alto,2
dever,2
alemanha,2
opção,2
"temporada,",2
céu,2
torna,2
redes,2
alguma,2
cogumelos,2
ter,2
garantir,2
própria,2
"pão,",2
pedras,2
feijoada,2
ensinou,2
bandeira.,2
gastronomia,2
koya,2
deixam,2
mate,2
utensílio,2
"brasil,",2
graças,2
jantar,2
"tapa,",2
"uruguai,",2
quanto,2
famoso,2
pano,2
vale,2
bucólica,2
quilômetros,2
chocolate,2
queda,2
feita,2
comum,2
bifes,2
mãos,2
espaço,2
espanhol,2
mistura,2
perfeita,2
paella,2
atingir,2
viajou,2
atração,2
frios,2
ovos,2
britânico,2
durante,2
cidades,2
lardo,2
leve,2
geralmente,2
chimarrão,2
inverno,2
bacon,2
preparo,2
mignon,2
camadas,2
clique,2
caldo,2
happy,2
levar,2
jornal,2
"porções,",2
aquece,2
20,2
fundador,2
formar,2
"cima,",2
melhores,2
curtir,2
visita,2
temporada!imagem:,2
aírelembre,2
tortilla,2
doces,2
formato,2
contrário,2
"""the",2
"disso,",2
outros,2
prática,2
podemos,2
seco,2
&,2
suntuosa,2
poço,2
aí,2
come,2
dizer,2
maionese,2
"noiva,",2
62,2
casa.,2
arroio,2
influências,2
café,2
base,2
três,2
uola,2
preparando,2
passeio,2
topo,2
aserra,2
catarina,2
"meia,",2
rodelas,2
chega,2
fazem,2
urubiciimagem:,2
acesso,2
usa,2
significa,2
1ª,2
tudo,2
etapa,2
processos,2
la,2
perfeito,2
"primeiro,",2
"fernandes,",2
começar,2
massa,2
ótimas,2
dar,2
massas,2
azeite,2
comidas,2
desce,2
temporada!alfredo,2
diz,2
colher,2
voo,1
calma,1
boca)modo,1
uolreligiosos,1
vinte,1
delicioso,1
caprichada,1
pequenas.,1
mezze,1
antiaderente,1
"chimarrão,",1
fermentação,1
queijo,1
mora,1
"cozinham,",1
invernoimagem:,1
craque,1
pedro.quem,1
vinhos,1
reais,1
beber,1
carvão,1
"farinha,",1
dedicado,1
assim,1
"pensar,",1
"porco,",1
espanha,1
alto.,1
pés,1
muita,1
abrasileirada,1
"açúcar,",1
gelada,1
"""aprendi",1
"coxinha,",1
oportunidade,1
companhia,1
abraçam,1
queimado,1
gargalo,1
preparoerva-mate,1
área,1
rei,1
"bolovo?""oriente",1
"picles,",1
explica.mas,1
"vieiras,",1
atrai,1
15,1
impressionar,1
"pedaço,",1
talher:,1
"maeda,",1
curioso,1
estilos,1
local,1
inspiração,1
úmido,1
tirolesa,1
"eles,",1
wiener,1
porções40,1
ceboladificuldade,1
aperte,1
antigo,1
"não,",1
eleger,1
fazenda,1
provar,1
gordura,1
estrela,1
disso.documentada,1
enche,1
ponto.doce,1
utensílios,1
moldado,1
nit,1
"natal,",1
lista,1
(vide,1
próprio,1
"beber,",1
nesse,1
temporada!o,1
leãoimagem:,1
algumas,1
churrasqueira?,1
(tartare,1
"inverno,",1
principalmente,1
outras,1
peru;,1
rancho,1
fumegante,1
"salgadas,",1
deliciosas.ele,1
ajuda,1
escuro,1
paio),1
conquistam,1
sol.se,1
sc!santa,1
valem,1
catarina.os,1
"passo,",1
compartilhado,1
"batidos,",1
infusão,1
exemplo.,1
armário,1
"catarina"".receitasiga",1
interna,1
jeitinho,1
"palone,",1
próximas,1
sinuosa,1
mate.matéria-prima,1
continua,1
