word,count
vinho,33
—,28
vinhos,23
derivan,21
sempre,18
grande,17
bebida,16
anos,16
gim,16
bartenders,14
mestre,14
ainda,13
bar,12
todos,12
vez,11
uva,11
garrafas,11
drinque,11
brasil,11
copo,11
receita,10
post,10
produtores,10
"que,",9
destilado,9
século,9
garrafa,9
getty,9
uísque,9
todo,9
coquetel,9
apenas,9
além,9
sobre,9
qr,8
tônica,8
feito,8
bares,8
primeira,8
desde,8
aprendi,8
coquetelaria,7
partir,7
"tempo,",7
ingredientes,7
antes,7
através,7
vermute,7
vem,7
amitié,7
vinícola,7
segundo,7
rótulos,7
cada,7
história,7
menos,7
deve,7
pessoas,7
museu,7
melhor,7
fez,7
lei,7
nova,6
sendo,6
cidade,6
outra,6
ganhou,6
estabelecimentos,6
porque,6
moscow,6
longo,6
bons,6
outro,6
sido,6
frança,6
antiga,6
levou,6
"então,",6
fazer,6
"anos,",6
world,6
outros,6
alguns,6
brasileira,6
muitas,6
mundo,6
duas,5
histórico,5
após,5
pode,5
havia,5
parte,5
mule,5
dia,5
tão,5
público,5
martini,5
disse,5
meio,5
funcionários,5
caso,5
italianos,5
"paulo),",5
lugar,5
ter,5
gosto,5
região,5
limão,5
setor,5
mil,5
aqui,5
produção,5
paulo,5
sabores,5
onde,5
começou,5
tudo,5
bartender,5
mercado,5
cerca,5
possível,5
gente,4
rótulo,4
beber,4
muita,4
toda,4
lista,4
quatro,4
outras,4
qualquer,4
todas,4
precisa,4
vida,4
água,4
brasileiro,4
by,4
segunda,4
"contudo,",4
sazerac,4
tipo,4
aprender,4
tempo,4
versão,4
europeia,4
bem,4
17,4
ginger,4
contato,4
restaurantes,4
vitoria,4
meados,4
on,4
"mundo,",4
"roque,",4
licor,4
shared,4
legislação,4
"maio,",4
"bartender,",4
wine,4
nada,4
nesta,4
ensinou,4
atrás,4
conta,4
premiação,4
associação,4
quanto,4
vezes,4
conteúdo,4
lá,4
uvas,4
produtos,4
evento,4
consumidores,4
"""em",4
ouro,4
edição,4
comitê,4
instagrama,4
this,4
legado,4
fim,4
"gelo,",4
bebidas,4
nome,4
medalha,3
terra,3
associações,3
fácilver,3
prefeitura,3
divulgação/douane,3
assédio,3
festa,3
"bar,",3
qualidade,3
momentos,3
mix,3
diferentes,3
experiências,3
serviço,3
code,3
nunca,3
maior,3
versões,3
leva,3
aroma,3
drinques,3
enquanto,3
fronteira,3
francesa,3
vodca,3
"hoje,",3
mulheres,3
syrah,3
vê,3
rafael,3
bebida.,3
"frança,",3
principais,3
alegria,3
"dele,",3
100,3
roque,3
luta,3
dry,3
mulher,3
espumante,3
"é,",3
comissão,3
usar,3
"viognier,",3
colocou,3
cliente,3
homem,3
"sabor,",3
"época,",3
lazer,3
mauro,3
cultura,3
explica,3
old,3
pedaço,3
abrir,3
criou,3
branco,3
contra,3
pois,3
cara,3
capital,3
"ingredientes,",3
livro,3
