word,count
nova,77
vinho,63
vinhos,60
compartilhar,57
janela)clique,56
meses,26
rioja,21
aromas,18
carvalho,15
região,15
barricas,12
boca,11
corpo,10
grande,10
"vinho,",10
beaujolais,10
sendo,9
taninos,9
envelhecimento,9
média,9
alguns,9
pinterest(abre,8
sauvignon,8
janela)curtir,8
facebook(abre,8
enviar,8
link,8
imprimir(abre,8
oxidação,8
isso:curtircarregando...,8
linkedin(abre,8
desde,8
nouveau,8
whatsapp(abre,8
tumblr(abre,8
pocket(abre,8
amigo(abre,8
janela)maisclique,8
apenas,8
12,8
acidez,8
twitter(abre,8
e-mail,8
pode,7
garrafa,7
tempo,7
anos,7
fruta,7
produção,7
ainda,7
estilo,7
produtores,7
coloração,7
potencial,7
clima,7
francês,6
"que,",6
qualidade,6
parte,6
guaspari,6
brancos,6
vista,6
menos,6
uvas,6
pouca,6
leve,6
reserva,6
rubi,6
sobre,6
fermentação,5
algumas,5
persistência.,5
totalmente,5
elaborado,5
aroma,5
“vista,5
vinho”,5
rolha,5
–,5
(e,5
boa,5
bom,5
preço:,5
posts,5
vinícola,5
todo,5
cada,5
bouchonné,5
"madeira,",5
durante,5
porto,5
pouco,5
vinho.,5
todos,5
produzidos,5
garrafa.,5
vinhedos,5
médio,5
mercado,5
tanques,4
maturação,4
fazenda,4
outras,4
defeitos,4
defeito,4
"rioja,",4
maior,4
estrutura,4
"taça,",4
vez,4
blanc,4
"é,",4
antes,4
frutas,4
serra,4
país,4
"seco,",4
entrada,4
produzir,4
devido,4
compostos,4
mínimo,4
conhecer,4
alguma,4
americano,4
grupo,4
guarda,4
viticultura,4
investimento,4
cor,4
"então,",4
"vinhos,",4
24,4
final,4
ótimo,4
aço,4
(ou,4
marqués,4
norte,4
milhões,4
irá,4
experiência,4
uso,4
vinhedo,4
além,4
frutados,4
santo,4
mundo,4
"boca,",4
dentro,4
graciano,4
geral,3
—,3
beber,3
área,3
encontrados,3
provar,3
cidade,3
ação,3
vermelhas,3
bordeaux,3
diferentes,3
após,3
intensos,3
primeiras,3
logo,3
segunda,3
tornou,3
bastante,3
(com,3
passagem,3
consumido,3
lojas,3
século,3
chamados,3
"tabaco,",3
"entanto,",3
prazer,3
inox,3
syrah,3
90%,3
tipo,3
porque,3
longo,3
sul,3
safra,3
desenvolvimento,3
aproximadamente,3
"maduras,",3
serem,3
enólogos,3
grandes,3
pedra,3
natural,3
podem,3
–um,3
6,3
primeiro,3
uva,3
“validade,3
garrafas,3
rolhas,3
pequena,3
cabernet,3
típico,3
syrahs,3
capital,3
dois,3
"xix,",3
ter,3
hora,3
solo,3
dame,3
wine,3
propriedade,3
adega,3
deixe,3
rio,3
"alavesa,",3
vale,3
negra,3
surgiu,3
vinhos.,3
espaço,3
"assim,",3
época,3
nível,3
história,3
(os,3
receber,3
cortiça,3
série,3
vermelha,3
alta,3
"alta,",3
guarda.,3
década,3
of,3
"anos,",3
pessoas,3
1,3
mostrou,3
visita,3
melhor,3
seco,3
"bordeaux,",3
toque,3
comuns,3
(que,3
presença,3
maioria,3
produziu,3
"restaurante,",3
quinta-feira,3
desse,3
intensidade.,3
caixa,3
cerca,3
"infelizmente,",3
nome,3
tempranillo,3
conte,2
du,2
dedicado,2
construção,2
oportunidade,2
muita,2
15,2
certa,2
so2,2
toda,2
ebro,2
"beaujolais,",2
quatro,2
2012,2
transformação,2
processo,2
comentário,2
principalmente,2
identificar,2
perca,2
vinho).inscreva-se,2
tca,2
próximas,2
"aliás,",2
nouveau”,2
indeterminada”,2
"equilibrado,",2
próximo,2
exemplares,2
expressão,2
"mentol,",2
evitar,2
quente,2
produzido,2
colheita,2
tintos,2
litros,2
recepção,2
necessariamente,2
visitação,2
ocorre,2
tendência,2
oxigênio,2
percepção,2
nenhum,2
ano,2
dia,2
(a,2
e-mail.publicidadecompartilhe:clique,2
importantes,2
"região,",2
"qualidade,",2
português,2
apresenta,2
"frescor,",2
perto,2
visitante,2
5,2
complexo,2
elaborados,2
fladgate,2
ótima,2
costuma,2
qualidade.,2
"décadas,",2
breve!,2
"colheita,",2
estará,2
vinícola.,2
filoxera,2
"média,",2
(mais,2
seguido,2
bons,2
bem,2
"isso,",2
provavelmente,2
caso,2
outro,2
através,2
começa,2
forma,2
contato,2
muitos,2
"início,",2
engarrafamento,2
"depois,",2
"acidez,",2
vedação,2
riscal,2
solos,2
"médio,",2
então,2
maceração,2
normalmente,2
branco,2
pois,2
gran,2
primeiros,2
classificação,2
videira,2
opções,2
ventos,2
longa,2
"equipe,",2
elegante,2
esquerda,2
lembrar,2
próximos,2
adquirem,2
"parcelas,",2
cuidados,2
guarda”,2
período,2
primeira,2
vinícolas,2
garantir,2
fica,2
intensidade,2
95,2
ar,2
2008,2
"2015,",2
espírito,2
chá,2
inevitável,2
graças,2
"moderados,",2
bodegas,2
irrigação,2
ganhando,2
famoso,2
técnica,2
posição,2
francês),2
economicamente,2
ligeiramente,2
antiga,2
existe,2
“defeitos,2
famosa,2
10%,2
momento,2
rosados),2
taça,2
eficaz,2
pimenta,2
objetivo,2
paralelos,2
"exemplo,",2
anos.,2
mudas,2
fermentado,2
"mazuelo,",2
couro.,2
deve,2
semanas,2
"moderada,",2
sempre,2
longos,2
acordo,2
abaixo,2
degustação,2
"tempranillo,",2
vinificação,2
técnicas,2
tornando-se,2
família,2
"claro,",2
leves,2
cinco,2
amantes,2
chamado,2
ebro.,2
passando,2
quantidade,2
degustar,2
guardar,2
(como,2
podendo,2
equilibrado,2
atlântico,2
lado,2
36,2
eventos,2
guardá-lo,2
desinfecção,2
casa,2
outros,2
podemos,2
2015,2
visitantes,2
usados,2
poucos,2
facilmente,2
&,2
"pinhal,",2
poder,2
guerra,2
4,2
tipicidade,2
localiza,2
"rolha,",2
proveniente,2
"seja,",2
"vinícola,",2
três,2
corte,2
organizada,2
consumo,2
falar,2
representante,2
pronto,2
menor,2
ovale,2
(em,2
significa,2
(no,2
“dia,2
3ª,2
verdade.,2
clorados,2
blend,2
"2016,",2
oxidado,2
parcela,2
dar,2
rioja.,2
busca,2
2003,2
"frescas,",2
"clássico,",2
montrose,2
daqui,2
salto,2
3%,2
“poda,2
necessários,2
nessa,2
2%,2
 ,2
exceto,1
" mas,",1
floresce,1
e resolveu,1
decrianza(isto,1
descrever,1
laboratório,1
transferência,1
disponíveis.,1
verdade,1
longevidade,1
sommelier,1
eliminar,1
tons,1
sozinha,1
viticultura?as,1
"cítrico,",1
–publicidadecompartilhe:clique,1
induz,1
"lançamento,",1
mistral.na,1
tonalidade,1
antocianos),1
novo. existe,1
ganharam,1
logística,1
unidos,1
média-alta,1
cuidado,1
armazená-lo,1
origen,1
terra,1
temáticos:wine,1
"funcionamento,",1
"período,",1
batuta,1
medalha,1
assim,1
"atento,",1
ouscrewcap(tampa,1
atingiu,1
espanha,1
(5%),1
" sim,",1
botânico,1
(10º-12ºc).,1
uva.o,1
pura,1
adquirir,1
saída,1
“papelão,1
úmido”.,1
"períodos,",1
marcas,1
região.o world,1
privilegiados,1
térmica,1
"cru,",1
estudar,1
"vinificação,",1
decantar,1
regiões,1
de experimentar,1
"nariz,",1
exatamente,1
vinhos:,1
anti-oxidante.uma,1
incontáveis,1
"sommelier,",1
(18,1
r$165–,1
“gran,1
histórico,1
investir,1
"ano,",1
700,1
experimentar,1
rolha” (bouchonsignifica,1
interação,1
trilhão”),1
caras,1
província,1
centro,1
postos,1
local,1
anaeróbico,1
odor,1
ibérica,1
(marqués,1
províncias,1
dividida,1
"adega,",1
de uma,1
antigo,1
inauguração,1
equipamentos,1
minas,1
"detalhe),",1
estados,1
"beber,",1
“nociva”,1
"provavelmente,",1
passam,1
"calificada),",1
próprio,1
excelentes.,1
estrela,1
2020,1
ouvi,1
gonzales,1
frase,1
futuros,1
prematura,1
"como macabeo),",1
(organizador,1
(agrônomo,1
alcoólica,1
"madura,",1
exigindo,1
“estágio”,1
"dúvida,",1
=,1
engarrafados,1
degustação.,1
dacité,1
"inverno,",1
colocadas,1
supermercados,1
“rápido”.dentre,1
"antiguidade,",1
garrafa.gran,1
elegância,1
ascaves,1
2014.a grande,1
desenvolvida,1
denominadas,1
"passeio,",1
errada,1
extende,1
granítica,1
plantados,1
"uvas,",1
plantado,1
passar,1
especificamente,1
reconhecê-los.,1
limpeza,1
murrieta e,1
posteriormente,1
condições,1
partnership(detentor,1
luxuoso,1
tais características,1
produção”),1
curta,1
"luminosidade,",1
limitar,1
baja,1
"“jóven“,",1
tragetória,1
chardonnay,1
continua,1
87,1
"leve,",1
"elaboração,",1
rights,1
riojasua,1
costumam,1
"madeira, em",1
maciez,1
euros,1
navinícola,1
brasil.trata-se,1
umamedalha,1
recebidos,1
apenas.terminando,1
cultivo,1
melhorar,1
armazenamento,1
fizer,1
“famoso,1
temido,1
peróxido,1
ferro,1
3,1
eleito,1
"m²,",1
"hotelyeatman,",1
fique,1
horas,1
degustamos,1
"degustação,",1
30,1
simples,1
simon,1
éguardar,1
