word,count
1,4959
vinho,4889
vinhos,4353
artigos:,4100
2,2801
bem,2420
the,2384
colher,2169
pode,2105
além,2040
sobre,2028
.,1878
sal,1801
–,1793
dia,1739
água,1663
sopa,1659
cada,1615
fazer,1576
ainda,1566
receita,1542
leite,1487
casa,1480
colheres,1469
azeite,1461
coloque,1458
molho,1453
tempo,1396
sempre,1394
massa,1379
porto,1359
deixe,1290
arte,1289
todos,1268
onde,1258
of,1237
prato,1225
deise,1218
queijo,1216
novakoski,1205
grande,1201
pimenta,1193
&,1144
forno,1139
forma,1118
and,1112
3,1091
açúcar,1087
sabor,1077
gosto,1073
/,1058
degustação,1052
minutos,1031
pouco,1026
apenas,1021
maria,1014
nenhum,1006
tudo,1005
wine,1003
|,984
4,969
alho,957
brasil,955
chef,954
comentário:,940
leve,939
chocolate,930
limão,920
arroz,918
fica,910
bebidas,903
ingredientes,899
parte,893
rio,890
to,886
manteiga,883
ficar,882
receitas,869
carne,865
farinha,862
xícara,861
faz,858
ter,856
desde,850
(sopa),849
melhor,849
adicione,849
mundo,848
comentários,845
então,832
sabores,831
café,826
minutos.,818
dias,801
grandes,798
branco,797
g,796
anos,790
cebola,786
chá,784
bom,780
pratos,780
51,776
região,774
vinhedos,756
boa,755
pão,753
aqui,751
amélia,746
jantar,741
1/2,731
(chá),730
panela,728
loja,727
misture,726
5,709
consultoria,708
marketing,706
alguns,702
cerca,697
lojas,695
sauvignon,695
mistura,692
6098,691
sede,690
alegre,690
cabernet,689
"bares,",689
sirva,688
fogo,686
preparo:,684
hoje,683
podem,682
in,680
cozinha,679
10,676
duarte,671
9331,670
creme,666
criado,666
uvas,660
espumante,652
função,644
assim,643
menos,643
todo,640
acrescente,640
publicada,639
supermercados,638
"restaurantes,",627
porque,624
antes,623
"atualmente,",623
sommelière,622
almoço,621
mesa,618
rua,618
coluna,617
junte,614
conhecer,612
durante,611
retire,611
2015.,608
©,600
melhores,596
presta,596
site.,592
pois,590
"bartender,",589
"quê?”,",588
exerce,588
“você,587
assinar,587
"vinhos,",586
digital.,586
doce,585
ovos,581
história,580
(ou,579
la,577
suco,571
meio,570
+,569
flores,565
mexa,562
nova,561
outros,561
pinot,561
vez,559
neste,558
dois,558
vale,557
sul,556
duas,554
valor,554
deve,553
alimentos,553
ano,552
vinhoearte@gmail.com,552
tomate,550
outras,549
enóloga,549
todas,545
bata,545
ml,545
muitas,543
(rende,541
frutas,538
algumas,537
salada,537
legumes,534
vinícola,532
vamos,532
hora,531
tão,528
uva,528
frango,525
novo,524
dá,519
produtos,517
pessoas,516
is,514
caldo,513
especial,506
quase,504
diferentes,500
lá,498
qualidade,496
cidade,495
toda,494
bolo,494
gastronomia,492
porções,490
30,489
15,481
outro,474
mercado,474
maior,473
01,472
feito,470
reservas,469
folhas,469
curso,463
ficou,463
muitos,462
cozinhar,461
papel,461
outra,460
peixe,458
super,457
vem,457
dicas,457
menu,449
portugal,448
minutos),448
visita,448
simples,447
ovo,447
20,446
óleo,444
coco,443
partir,438
bodega,437
nada,436
cultura,435
edição,435
espumantes,433
dar,430
sendo,429
picada,429
comer,429
desta,428
semana,428
muita,427
del,425
tipo,425
deste,425
comida,424
data,422
bebida,421
3072,420
pó,420
produção,420
tempere,419
vou,419
1777,418
provar,417
quanto,416
primeiro,413
marca,413
"brasil,",412
cerveja,409
estilo,408
fatias,407
primeira,406
enquanto,404
"teixeira,",404
verde,401
quinta,401
restaurante,400
copo,398
três,398
sobremesa,396
tinto,396
informações:,396
chile,395
6,392
ervas,388
batatas,386
conta,386
"então,",386
chega,386
agora,384
evento,383
começar,381
