word,count
evento,905
festival,783
terminou,440
–,419
local,415
(r$,383
mapa,364
além,358
chocolate,298
dias,266
telefone,232
opções,226
(11),221
acontece,210
edição,210
dia,204
espaço,202
amanda,195
matos,194
ainda,194
pratos,193
entrada,184
rua,183
paulo,173
leite,169
recebe,169
partir,167
cardápio,160
vila,159
burger,154
cerveja,151
pão,150
morango,149
queijo,146
doces,146
+,145
chef,144
conta,142
doce,139
sabores,139
marina,137
marques,136
restaurantes,133
creme,133
gastronomia,132
brigadeiro,121
batata,119
durante,118
café,118
casa,115
carne,113
menu,113
tradicional,112
programação,111
diversos,110
memorial,110
camarão,108
contará,107
traz,107
américa,103
feira,103
público,102
diversas,102
molho,102
bar,100
restaurante,100
hambúrguer,99
gastronômico,98
10,96
|,95
(foto:,93
outras,93
festa,93
food,93
bolo,93
artesanal,92
"evento,",91
produtos,91
cervejas,90
promoção,90
todos,90
"domingo,",89
11h,86
anos,86
comida,86
especial,86
chefs,85
valor,84
vinhos,83
latina,83
15,82
churros,82
receitas,82
"paulo,",81
sorvete,81
confira,80
poderão,80
20,79
12h,79
semana,79
podem,78
bacon,78
&,78
música,77
"chocolate,",77
dois,77
sabor,77
tipos,76
limão,76
"disso,",76
pode,75
cada,75
di,75
outros,75
site,74
sábado,73
eataly,72
todo,72
participantes,72
massa,72
vão,71
prato,71
culinária,70
shopping,69
10h,69
três,69
preços,67
crianças,67
30,66
haverá,66
promove,66
coxinha,66
bebidas,66
área,65
brasil,65
realiza,65
especiais,64
água,64
branco,64
vinho,64
av.,63
mais.,63
atrações,63
cebola,62
parque,62
1,62
paulista,61
tudo,61
evento.,59
fica,59
"sábado,",59
frango,59
sobre,59
recheado,58
delícias,58
12,58
primeira,57
pastel,56
ingressos,56
frutas,55
loja,55
oferece,54
1º,54
la,54
duas,53
cidade,53
diferentes,53
todas,53
paulo.,53
"festival,",53
18,52
gratuita,52
visitantes,52
trazer,52
banana,51
banda,51
jantar,51
onde,51
avenida,50
praça,50
casas,50
outros.,50
"novembro,",50
região,50
cozinha,50
poderá,49
"churros,",49
tradicionais,49
25,49
the,49
queijos,49
grande,49
calda,49
11,48
artesanais,48
"burger,",48
estarão,48
"setembro,",48
24,48
marca,48
mercado,48
quatro,47
"morango,",47
meio,47
5,47
tomate,47
festival.,46
degustação,46
"gratuita,",46
"outubro,",46
mousse,45
clientes,45
"ale,",44
parte,44
16,44
"ipa,",44
"leite,",44
mini,44
alguns,44
2,44
comidas,44
gratuita.,43
maior,43
sobremesas,43
(a,43
rótulos,43
localizado,43
9,43
presença,43
14,43
8,42
gastronômica,42
bolos,42
guia,42
4,42
neste,41
hot,41
"artesanais,",41
mar,41
chopp,41
jardim,41
fazer,41
melhor,41
sanduíche,41
2017.,41
lanches,41
=,40
reúne,40
"doces,",40
ingredientes,40
18h,40
bolinho,40
atualizado,40
week,40
experiência,40
ceagesp,40
open,40
servido,40
toda,39
opção,39
salada,39
endereço:,39
centro,38
chocolates,38
6,38
vivo,38
domingo,38
torta,38
13,38
sorvetes,38
hambúrgueres,38
possível,38
preço,38
pizza,37
dj,37
rio,37
linguiça,37
cinco,37
mesa,37
trucks,37
"abril,",37
base,37
arroz,37
versões,36
"queijo,",36
disponíveis,36
bairro,36
26,36
cultura,36
feito,36
19,36
23,36
kids,36
frutos,36
irá,36
50,36
setembro,35
american,35
burguer,35
participar,35
drinks,35
batatas,35
receita:,35
maionese,35
aulas,35
redação,35
valores,35
massas,35
muita,34
algumas,34
22,34
estará,34
atividades,34
"maio,",34
custam,34
costela,34
porco,34
desta,34
cobertura,34
"ano,",33
3,33
segunda,33
porções,33
28,33
ano,33
(excellence),33
bem,33
"artesanal,",33
grandes,33
alimentação,33
bares,33
ter,33
destaque,33
projeto,33
"dezembro,",33
final,33
produtores,33
"frango,",32
churrasco,32
17,32
porção,32
red,32
santa,32
degustar,32
eventos,32
vários,32
sendo,31
14h,31
bebida,31
irão,31
desde,31
produção,31
recheada,31
apenas,31
brasileira,31
almoço,31
mundo,31
7,30
milho,30
"carne,",30
"agosto,",30
"janeiro,",30
venda,30
localizada,30
peixe,30
direito,30
"brasil,",30
brinquedos,30
famoso,30
melhores,30
sopas,30
coco,30
21,30
acompanhado,30
saborear,30
vegano,30
contar,30
"café,",30
29,29
(de,29
seis,29
novos,29
butantan,29
itens,29
zona,29
nesta,29
sobremesa,29
castanha,29
"julho,",29
amargo,29
levar,29
inclui,29
estandes,29
mariana,29
santo,29
"bolos,",29
lista,28
san,28
lojas,28
custa,28
27,28
purê,28
oferecer,28
feitos,28
amantes,28
"gastronomia,",28
coffee,28
encontrar,28
novidades,28
novo,28
r.,28
"cardápio,",28
dentre,28
nova,27
principal,27
"20,00)",27
"casa,",27
italiana,27
itaim,27
recheio,27
"21h,",27
20h,27
espresso,27
preparados,27
gelato,27
pequenos,27
hamburgueria,27
barra,27
brownie,27
comer,27
alemã,27
servida,27
brigadeiros,27
comidinhas,27
salmão,26
regiões,26
cachaça,26
2017,26
"março,",26
pães,26
"draco,",26
primeiro,26
tema,26
cervejarias,26
reunir,26
vale,26
bandas,26
15h,26
mil,26
oficinas,26
",",26
completa,26
mix,25
17h,25
3279-3300,25
oficina,25
farofa,25
malte,25
principais,25
clássicos,25
quiser,25
mês,25
"edição,",25
estacionamento,25
sucos,25
vem,25
capital,25
horário,25
preço:,25
coxinhas,25
sp,25
brasil.,25
"doce,",25
dá,25
"tomate,",25
pagam,25
(gim,25
sucesso,25
"camarão,",25
"sp,",25
beer,25
marcas,24
experiências,24
bbq,24
vez,24
apresenta,24
incluindo,24
"crepes,",24
cortes,24
cervejaria,24
"crianças,",24
açaí,24
feita,24
pinheiros,24
seca,24
paella,24
receber,24
celebrar,24
"paulista,",24
variados,24
lado,24
casa.,24
cacau,24
cerca,24
lanche,24
"pilsen,",23
"20h,",23
(com,23
mel,23
estabelecimentos,23
quitutes,23
cream,23
festivais,23
cookie,23
através,23
forma,23
boa,23
variedade,23
estação,23
acompanhamentos,23
hora,23
apresentações,23
"pães,",23
quinta,23
"bebidas,",23
encontro,23
pimenta,23
supernova,23
têm,23
especialmente,23
cannoli,23
convidados,23
expositores,23
"19h,",23
"sorvete,",23
muitas,23
suco,23
receita,22
quente,22
carnes,22
enquanto,22
parte.,22
legumes,22
"junho,",22
/,22
frita,22
acarajé,22
início,22
bacalhau,22
"r$9,90",22
aqui,22
19h,22
sempre,22
família,22
pessoas,22
"anos,",22
morangos,22
pernil,22
shows,22
funciona,22
pescado,22
vendidos,22
escolher,22
sai,21
musicais,21
"sobremesa,",21
"frutas,",21
"salgados,",21
"tradicional,",21
ocorre,21
participam,21
"14,90",21
padaria,21
pessoa,21
oficial,21
sul,21
"lanches,",21
camarões,21
40,21
outubro,21
convites,21
objetivo,21
pet,21
alameda,21
mozzarella,21
bela,21
"22h,",21
peru,21
"brigadeiro,",21
consumo,21
"branco,",21
fim,21
dentro,21
delicioso,20
caras,20
show,20
serviço,20
leva,20
park,20
faz,20
100,20
(região,20
verde,20
cliente,20
gastronômicos,20
típicos,20
fest,20
assado,20
mostarda,20
"italiana,",20
feitas,20
salgados,20
morango:,20
"cidade,",20
sanduíches,20
unidades,20
"sorvetes,",20
artesanato,20
branca,20
"bacon,",20
parceria,20
restaurant,20
fazenda,19
coberto,19
2019,19
3823-4600,19
exclusivos,19
outra,19
pedaços,19
"coco,",19
manteiga,19
joelho,19
120,19
ingresso,19
nomes,19
rede,19
alho,19
diversão,19
basta,19
renomados,19
siciliano,19
artesanal.,19
ar,19
1°,19
famosa,19
16h,19
empório,19
"jantar,",19
cidades,19
"r$14,90:",19
"vinhos,",19
"claro,",19
museu,19
unidade,19
fondue,19
destaques,19
toque,19
reserva,19
fev,19
fazem,19
dar,19
barracas,19
deixar,19
"r$9,90:",19
2º,19
cursos,18
após,18
próximo,18
campos,18
barbecue,18
janeiro,18
peixes,18
"limão,",18
"cerveja,",18
cafés,18
"queijos,",18
completo,18
participação,18
rafael,18
"eataly,",18
livre,18
torresmo,18
versão,18
local.,18
9h,18
vegan,18
ibirapuera,18
animar,18
coado,18
feijão,18
período,18
fixo,18
"roupas,",18
"nutella,",18
nacional,18
menus,18
grupo,18
adquiridos,18
"hambúrguer,",18
"lager,",18
verão,18
"mel,",18
opções.,18
dr.,18
milk,18
"bacalhau,",18
formato,18
pesto,18
le,18
acesso,18
acompanhar,18
maçã,18
leste,18
"paçoca,",18
azeite,18
"refrigerantes,",18
calabresa,17
"cebola,",17
22h,17
"avelã,",17
workshops,17
cheddar,17
devem,17
vegana,17
palco,17
