word,count
vinhos,1130
vinho,1048
frutas,422
–,349
bem,348
aromas,346
ainda,324
produção,313
além,311
região,302
vinícola,290
traz,286
sobre,283
notas,281
grande,264
casa,258
anos,253
boca,252
qualidade,238
melhor,229
acidez,228
dia,224
cada,219
uvas,219
wine,213
todos,212
pode,210
desde,208
boa,201
rótulos,197
melhores,197
mundo,192
taninos,191
marca,191
bastante,190
final,189
cabernet,184
apenas,179
brasil,178
onde,170
possui,170
maior,168
degustação,164
mercado,162
feito,161
produtores,157
ano,149
uva,141
produtos,140
apresenta,139
linha,139
podem,139
alguns,139
sauvignon,138
sempre,138
todo,137
branco,135
1,133
"brasil,",131
espumante,130
pinot,130
potencial,126
parte,124
pratos,123
primeira,123
forma,122
vem,122
preço:,121
"vinho,",121
vermelhas,120
paulo,120
grandes,116
meses,116
novo,115
sendo,114
toda,114
"vinhos,",114
experiência,114
café,114
viña,112
nova,111
rosé,111
conta,110
resultado,110
variedade,109
dois,109
di,108
empresa,108
hoje,107
leite,106
história,106
consumo,106
coloração,106
partir,105
chocolate,105
durante,103
evento,103
faz,102
ter,102
tinto,102
mostra,100
fazer,100
excelente,100
negras,99
quase,99
dias,99
três,99
regiões,98
&,98
busca,97
importadora,96
persistência,96
vale,96
projeto,96
outros,96
"boca,",96
vez,95
restaurante,95
sabor,95
reserva,95
nariz,94
maiores,94
pouco,94
família,93
toque,92
possível,92
diversos,91
opções,91
rio,91
sabores,91
pontos,91
malbec,91
duas,89
oferece,89
principais,89
especial,89
primeiro,88
presença,88
serviço,87
cor,87
especiarias,87
características,87
vinhedos,87
nome,87
bom,86
vinícolas,86
todas,85
rua,85
la,85
chardonnay,84
segunda,84
(11),84
passa,84
produtor,84
10,84
algumas,83
2,83
após,82
tanto,82
/,82
alta,82
ótima,81
frescor,81
muita,80
"mundo,",80
embora,80
açúcar,80
neste,79
3,79
carvalho,79
garrafa,79
terroir,79
marcas,78
diferentes,78
produzido,78
processo,77
venda,76
"paulo,",76
20,76
dessa,76
us$,76
(r$,75
30,75
aroma,75
pois,75
opção,75
"anos,",75
pessoas,75
deste,75
outras,74
através,74
produto,74
base,74
diversas,73
menu,73
5,72
chef,72
consumidor,72
quanto,72
origem,72
tão,71
paladar,71
15,70
ingredientes,70
espumantes,70
menos,70
frutos,70
edição,70
madeira,69
cerveja,69
bebida,69
shopping,69
site,69
variedades,69
queijos,69
trabalho,69
eventos,69
portfólio,69
queijo,68
país,68
tradição,68
brasil.,68
cidade,67
elaborado,67
muitos,67
vinho.,67
endereço:,67
valor,66
grupo,66
mil,66
rótulo,65
del,65
leva,65
vinhas,65
grand,65
espaço,65
taça,65
noir,65
barricas,65
feita,64
responsável,64
colheita,63
av.,63
tempo,63
12,63
novos,62
fica,62
gastronomia,62
guto,62
produzidos,62
4,62
preço,62
principalmente,61
principal,61
2019,61
meio,61
novas,61
tradicional,61
relação,61
assim,60
"que,",60
campos,60
água,60
100%,60
cuja,60
"acidez,",60
brancas,60
molho,60
bebidas,60
quatro,59
outra,59
syrah,59
objetivo,59
vendas,59
presente,58
blanc,58
outro,58
garrafas,58
nota,58
ferrari,58
equilíbrio,58
loja,58
2017,57
100,57
jack,57
marcado,57
vinhos.,57
complexidade,57
"país,",56
brasileiro,56
alguma,56
intensidade,56
mundial,56
têm,56
tudo,56
"casa,",55
produz,55
"qualidade,",55
brut,55
mundo.,55
nacional,55
sucesso,55
corte,55
parceria,55
única,55
vila,55
enólogo,54
receita,54
alto,54
importante,54
segundo,54
quinta,54
2015,54
clima,54
seleção,53
local,53
elegância,53
flores,53
público,53
ligeiramente,53
leve,53
fundada,53
mesma,53
fermentação,52
2016,52
qualquer,52
condições,52
"região,",52
safra,52
produzir,52
2022,52
cru,52
dá,52
estilo,52
lança,52
intenso,52
cerca,52
área,51
doce,51
países,51
região.,51
cardápio,51
creme,51
ótimo,51
concha,51
trazer,51
teor,51
indústria,51
du,50
tipo,50
único,50
bar,50
maduras,50
acordo,50
consumidores,50
12h,50
chile,50
ponto,50
francês,49
"ano,",49
estados,49
lojas,49
corpo,49
destaque,49
momento,49
país.,49
média,49
receitas,49
massa,49
azeite,49
disponível,48
experiências,48
qualidade.,48
sul,48
antes,48
agradável,48
conhecer,48
porto,48
post,48
don,47
"sauvignon,",47
tintos,47
cultura,47
tradicionais,47
caráter,47
sensação,47
acompanhar,47
especiais,46
fresco,46
2018,46
"isso,",46
nomes,46
itália,46
própria,46
feitos,46
2013,45
restaurantes,45
permite,45
trufas,45
clientes,45
mistral,45
culinária,45
alimentos,45
informações,44
harmonização,44
paulo.,44
explica,44
equipe,44
|,44
anos.,44
maneira,44
brasileira,44
rubi,44
carnes,43
ideal,43
incluindo,43
mês,43
versão,43
caso,43
vão,43
acontece,43
brancos,43
"exemplo,",43
cozinha,43
método,43
"vinícola,",43
muitas,43
prosecco,43
diz,43
ambiente,42
preços,42
importantes,42
localizada,42
jerez,42
campanha,42
6,42
entrada,42
redes,42
adega,42
fácil,42
uso,42
profissionais,42
pão,42
europa,42
verde,41
natural,41
fundo,41
solo,41
fruta,41
2021,41
parece,41
algo,41
semana,41
blend,41
harmonizar,40
horas,40
próximo,40
italiana,40
complexo,40
contato,40
presentes,40
italiano,40
arte,40
coloque,40
doc,40
champagne,40
elementos,40
y,40
brasileiros,40
chega,40
médio,40
"nariz,",39
atenção,39
2012,39
2014,39
mineralidade,39
quais,39
lançamento,39
período,39
pequenos,39
argentina,39
sal,39
deve,39
cinco,39
doces,39
",",39
total,39
11,38
paixão,38
passagem,38
"taça,",38
temperatura,38
desenvolvimento,38
"maduras,",38
instagram:,38
90,38
receita:,38
festival,38
oferecer,38
"chile,",38
setor,38
ligeiro,38
agradável.,38
bela,38
desta,38
encontrar,38
destaca,38
50,38
dentro,38
próprio,37
minutos,37
"produtores,",37
manteiga,37
clássico,37
então,37
elegante,37
kit,37
modo,37
santa,37
vezes,37
sorvete,37
aqui,37
farinha,37
of,37
levar,37
amantes,37
frutado,37
suco,37
oportunidade,36
lugar,36
fórmula,36
sob,36
agora,36
casca,36
prato,36
norte,36
considerado,36
dar,36
catena,35
8,35
+,35
novidade,35
américa,35
longo,35
diretor,35
saúde,35
colheres,35
40,35
conhecimento,35
pimenta,35
decanter,35
