word,count,site
Pinot Noir,416,dataset_colunistas_vinho
vinho branco,182,dataset_colunistas_vinho
frutas vermelhas,122,vinhoegastronomia
bons vinhos,110,dataset_colunistas_vinho
vinho tinto,98,dataset_colunistas_vinho
Pinot Noir,88,vinhoegastronomia
frutas vermelhas,61,dataset_colunistas_vinho
bom vinho,56,dataset_colunistas_vinho
vinhos brasileiros,56,dataset_colunistas_vinho
Pinot Noir,49,vinhosemsegredo
boa acidez,48,vinhoegastronomia
vinhos tintos,35,dataset_colunistas_vinho
grande vinho,34,dataset_colunistas_vinho
vinho branco,30,blogdosvinhos
vinho tinto,25,blogdosvinhos
copo de vinho,25,dataset_colunistas_vinho
vinhos portugueses,23,dataset_colunistas_vinho
boa acidez,23,dataset_colunistas_vinho
maçã verde,22,dataset_colunistas_vinho
Pinot Noir,22,blogdosvinhos
garrafa de vinho,20,dataset_colunistas_vinho
vinho branco,20,vinhoegastronomia
boa acidez,19,blogdosvinhos
corpo médio,18,vinhoegastronomia
bom vinho,16,vinhoegastronomia
frutas vermelhas,16,guiadasemana
aromas de frutas negras,16,vinhoegastronomia
grande vinho,15,vinhoegastronomia
vinho natural,15,dataset_colunistas_vinho
amarelo palha,14,vinhoegastronomia
vinhos portugueses,13,vinhoegastronomia
lista de vinhos,13,dataset_colunistas_vinho
vinho tinto,12,vinhoegastronomia
vinícolas abertas,11,dataset_colunistas_vinho
grande vinho,11,vinhosemsegredo
vinho branco,11,vinhosemsegredo
frutas vermelhas,11,blogdosvinhos
vinhos tintos,11,blogdosvinhos
vinho tinto,10,vinhosemsegredo
frutas vermelhas maduras,10,vinhoegastronomia
frutas vermelhas,10,vinhosemsegredo
maçã verde,9,vinhoegastronomia
corpo médio,9,dataset_colunistas_vinho
boa acidez,8,vinhosemsegredo
garrafa de vinho,8,vinhoegastronomia
vinhos tintos,7,vinhosemsegredo
vinhos tintos,7,vinhoegastronomia
cor amarela,7,dataset_colunistas_vinho
frutas vermelhas maduras,7,dataset_colunistas_vinho
rubi intenso,6,vinhoegastronomia
grand cru,6,vinhosemsegredo
vinhos brasileiros,6,vinhoegastronomia
região vinícola,6,dataset_colunistas_vinho
amarelo palha claro,6,vinhoegastronomia
ótimos vinhos,6,dataset_colunistas_vinho
loja de vinhos,5,vinhoegastronomia
loja de vinhos,5,dataset_colunistas_vinho
vinho seco,5,dataset_colunistas_vinho
excelente vinho,5,vinhoegastronomia
vinho tinto,5,guiadasemana
bons vinhos,5,vinhosemsegredo
corpo médio,5,blogdosvinhos
fruta vermelha,5,dataset_colunistas_vinho
degustação de vinho,5,dataset_colunistas_vinho
vinho branco,4,guiadasemana
vinhos portugueses,4,guiadasemana
amarelo palha,4,dataset_colunistas_vinho
vinhos brasileiros,4,guiadasemana
excelente vinho,4,dataset_colunistas_vinho
cor amarela,4,vinhoegastronomia
bons vinhos,4,vinhoegastronomia
vinhos brasileiros,4,conteudo_So_queijo
corpo médio,3,conteudo_vinhonosso
vinho seco,3,vinhoegastronomia
fruta vermelha,3,vinhoegastronomia
amarelo palha,3,blogdosvinhos
bar de vinhos,3,guiadasemana
acidez média,3,conteudo_vinhonosso
frutas vermelhas,3,conteudo_So_queijo
vinhos brasileiros,3,conteudo_Blog_da_Belle
maçã verde,3,guiadasemana
bom vinho,3,vinhosemsegredo
vinho completo,2,vinhoegastronomia
Pinot Noir,2,conteudo_Blog_da_Belle
bom vinho,2,conteudo_vinhonosso
vinhos brasileiros,2,conteudo_Suzana_Barelli
boa acidez,2,conteudo_Suzana_Barelli
frutas vermelhas,2,conteudo_Blog_da_Belle
maçã verde,2,conteudo_Balcão_do_Giba
vinho natural,2,vinhoegastronomia
vinho natural,2,conteudo_Blog_da_Belle
maçã verde,2,blogdosvinhos
acidez média,2,vinhoegastronomia
vinho tinto,2,conteudo_Suzana_Barelli
fruta preta,2,dataset_colunistas_vinho
vinho branco,2,conteudo_uol_ao-ponto
lista de vinhos,2,vinhoegastronomia
vinhos tintos,2,guiadasemana
região vinícola,2,vinhosemsegredo
frutas vermelhas maduras,2,blogdosvinhos
grand cru,2,dataset_colunistas_vinho
rubi intenso,2,blogdosvinhos
vinho local,1,dataset_colunistas_vinho
rubi intenso,1,dataset_colunistas_vinho
vinho favorito,1,dataset_colunistas_vinho
cor amarelo palha,1,dataset_colunistas_vinho
beba vinho,1,dataset_colunistas_vinho
fruta preta madura,1,dataset_colunistas_vinho
bons vinhos,1,conteudo_vinhonosso
frutas vermelhas maduras,1,conteudo_vinhonosso
bar de vinhos,1,dataset_colunistas_vinho
vinho branco,1,conteudo_vinhonosso
fruta vermelha,1,conteudo_vinhonosso
vinho tinto,1,conteudo_uol_cozinha-por-ai
região vinícola,1,conteudo_vinhonosso
ótimos vinhos,1,vinhosemsegredo
boa acidez,1,conteudo_Blog_da_Belle
corpo médio,1,conteudo_Blog_da_Belle
vinho branco,1,conteudo_Blog_da_Belle
bares de vinho,1,conteudo_Blog_da_Belle
garrafa de vinho,1,guiadasemana
corpo médio,1,guiadasemana
Pinot Noir,1,guiadasemana
bons vinhos,1,conteudo_uol_timtim
garrafa de vinho,1,conteudo_uol_timtim
vinho branco,1,conteudo_uol_timtim
vinho branco,1,conteudo_So_queijo
amarelo palha,1,conteudo_So_queijo
bom vinho,1,conteudo_So_queijo
vinho tinto,1,conteudo_So_queijo
vinho natural,1,blogdosvinhos
garrafa de vinho,1,blogdosvinhos
grande vinho,1,blogdosvinhos
boa acidez,1,conteudo_um-cafe-para-dividir
